actions,armor_class,challenge,charisma,constitution,dexterity,hit_points,intelligence,languages,name,short_desc,skills,speed,strength,url,wisdom
" If the aarakocra is flying and dives at least 30 ft. straight toward a target and then hits it with a melee weapon attack, the attack deals an extra 3 (1d6) damage to the target.| Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage.| Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 5 (1d6 + 2) piercing damage.| Five aarakocra within 30 feet of each other can magically summon an air elemental. Each of the five must use its action and movement on three consecutive turns to perform an aerial dance and must maintain concentration while doing so (as if concentrating on a spell). When all five have finished their third turn of the dance, the elemental appears in an unoccupied space within 60 feet of them. It is friendly toward them and obeys their spoken commands. It remains for 1 hour, until it or all its summoners die, or until any of its summoners dismisses it as a bonus action. A summoner can’t perform the dance again until it finishes a short rest. When the elemental returns to the Elemental Plane of Air, any aarakocra within 5 feet of it can return with it.",12,1/4 (50 XP),11 (0),10 (0),14 (+2),13 (3d8),11 (0),"Auran, Aarakocra",Aarakocra,"Medium humanoid (aarakocra), neutral good",Perception +5,"20 ft., fly 50 ft.",10 (0),http://chisaipete.github.io/bestiary/creature/aarakocra,12 (+1)
" cold, fire, lightning, bludgeoning, piercing, and slashing from nonmagical weapons| charmed, poisoned| The arcanaloth’s innate spellcasting ability is Charisma (spell save DC 15). The arcanaloth can innately cast the following spells, requiring no material components:|At will: alter self, darkness, heat metal, invisibility (self only), magic missile| The arcanaloth has advantage on saving throws against spells and other magical effects.| The arcanaloth’s weapon attacks are magical.| The arcanaloth is a 16th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 17, +9 to hit with spell attacks). The arcanaloth has the following wizard spells prepared:| Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 8 (2d4 + 3) slashing damage. The target must make a DC 14 Constitution saving throw, taking 10 (3d6) poison damage on a failed save, or half as much damage on a successful one.| The arcanaloth magically teleports, along with any equipment it is wearing or carrying, up to 60 feet to an unoccupied space it can see.| The yugoloth attempts a magical summoning.|An arcanaloth has a 40 percent chance of summoning one arcanaloth.|A summoned yugoloth appears in an unoccupied space within 60 feet of its summoner, does as it pleases, and can’t summon other yugoloths. The summoned yugoloth remains for 1 minute, until it or its summoner dies, or until its summoner takes a bonus action to dismiss it.",17 (natural armor),"Arcana +13, Deception +9, Insight +9, Perception +7",17 (+3),14 (+2),12 (+1),104 (16d8+32),20 (+5),truesight 120 ft.,Arcanaloth,"Medium fiend (yugoloth), neutral evil","acid, poison","30 ft., fly 30 ft.",17 (+3),http://chisaipete.github.io/bestiary/creature/arcanaloth,16 (+3)
" cold, fire, lightning| charmed, exhaustion, frightened, poisoned| Zuggtmoy’s spellcasting ability is Charisma. She can innately cast the following spells, requiring no material components:| If Zuggtmoy fails a saving throw, she can choose to succeed instead.| Zuggtmoy has advantage on saving throws against spells and other magical effects.| Zuggtmoy’s weapon attacks are magical.| Zuggtmoy makes three pseudopod attacks.| Melee Weapon Attack: +13 to hit, reach 10 ft., one target. Hit: 15 (2d8 + 6) bludgeoning damage plus 9 (2d8) poison damage.| Zuggtmoy releases spores that burst out in a cloud that fills a 20-foot-radius sphere centered on her, and it lingers for 1 minute. Any flesh-and-blood creature in the cloud when it appears, or that enters it later, must make a DC 19 Constitution saving throw. On a successful save, the creature can’t be infected by these spores for 24 hours. On a failed save, the creature is infected with a disease called the spores of Zuggtmoy and also gains a random form of madness (determined by rolling on the Madness of Zuggtmoy table) that lasts until the creature is cured of the disease or dies. While infected in this way, the creature can’t be reinfected, and it must repeat the saving throw at the end of every 24 hours, ending the infection on a success. On a failure, the infected creature’s body is slowly taken over by fungal growth, and after three such failed saves, the creature dies and is reanimated as a spore servant if it’s a type of creature that can be (see the “Myconids” entry in the Monster Manual).| Zuggtmoy releases spores that burst out in a cloud that fills a 20-foot-radius sphere centered on her, and it lingers for 1 minute. Humanoids and beasts in the cloud when it appears, or that enter it later, must make a DC 19 Wisdom saving throw. On a successful save, the creature can’t be infected by these spores for 24 hours. On a failed save, the creature is infected with a disease called the influence of Zuggtmoy for 24 hours. While infected in this way, the creature is charmed by her and can’t be reinfected by these spores.|Zuggtmoy can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature’s turn. Zuggtmoy regains spent legendary actions at the start of her turn.| Zuggtmoy makes one pseudopod attack.| One creature charmed by Zuggtmoy that she can see must use its reaction to move up to its speed as she directs or to make a weapon attack against a target that she designates.",18 (natural armor),Perception +11,24 (+7),18 (+4),15 (+2),304  (32d10 + 128),20 (+5),"truesight 120 ft., passive Perception 21",Zuggtmoy,"Large fiend (demon), chaotic evil","poison; bludgeoning, piercing, and slashing from nonmagical attacks",30 ft.,22 (+6),http://chisaipete.github.io/bestiary/creature/zuggtmoy,19 (+4)
" poisoned| If damage reduces the zombie to 0 hit points, it must make a Constitution saving throw with a DC of 5+the damage taken, unless the damage is radiant or from a critical hit. On a success, the zombie drops to 1 hit point instead.| Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) bludgeoning damage.",8,1/4 (50 XP),5 (-3),16 (+3),6 (-2),22 (3d8+9),3 (-4),understands all languages it spoke in life but can't speak,Zombie,"Medium undead, neutral evil",darkvision 60 ft.,20 ft.,13 (+1),http://chisaipete.github.io/bestiary/creature/zombie,6 (-2)
" cold, fire, radiant; bludgeoning, piercing, and slashing from nonmagical attacks that aren’t silvered| charmed, exhaustion, frightened, poisoned| Magical darkness doesn’t impede Zariel’s darkvision.| Zariel’s weapon attacks are magical. When she hits with any weapon, the weapon deals an extra 36 (8d8) fire damage (included in the weapon attacks below).| Zariel’s innate spellcasting ability is Charisma. She can innately cast the following spells, requiring no material components:| If Zariel fails a saving throw, she can choose to succeed instead.| Zariel has advantage on saving throws against spells and other magical effects.| Zariel regains 20 hit points at the start of her turn. If she takes radiant damage, this trait doesn’t function at the start of her next turn. Zariel dies only if she starts her turn with 0 hit points and doesn’t regenerate.| Zariel attacks twice with her longsword or with her javelins. She can substitute Horrid Touch for one of these attacks.| Melee Weapon Attack: +16 to hit, reach 10 ft., one target. Hit: 17 (2d8 + 8) slashing damage plus 36 (8d8) fire damage, or 19 (2d10 + 8) slashing damage plus 36 (8d8) fire damage if used with two hands.| Melee or Ranged Weapon Attack: +16 to hit, range 30/120 ft., one target. Hit: 15 (2d6 + 8) piercing damage plus 36 (8d8) fire damage.| Melee Weapon Attack: +16 to hit, reach 10 ft., one target. Hit: 44 (8d10) necrotic damage, and the target is poisoned for 1 minute. While poisoned in this way, the target is also blinded and deafened. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.| Zariel magically teleports, along with any equipment she is wearing and carrying, up to 120 feet to an unoccupied space she can see.|Zariel can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature’s turn. Zariel regains spent legendary actions at the start of her turn.| Zariel turns her magical gaze toward one creature she can see within 120 feet of her and commands it to combust. The target must succeed on a DC 26 Wisdom saving throw or take 22 (4d10) fire damage.| Zariel uses her Teleport action.",21 (natural armor),"Intimidation +18, Perception +16",30 (+10),28 (+9),24 (+7),580  (40d10 + 360),26 (+8),"darkvision 120 ft., passive Perception 26",Zariel,"Large fiend (devil), lawful evil","necrotic, poison","50 ft., fly 150 ft.",27 (+8),http://chisaipete.github.io/bestiary/creature/zariel,27 (+8)
" cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks| exhaustion, paralyzed, petrified, poisoned, stunned| As a bonus action after moving at least 10 feet on the ground, the zaratan can send a shock wave through the ground in a 120-foot-radius circle centered on itself. That area becomes difficult terrain for 1 minute. Each creature on the ground that is concentrating must succeed on a DC 25 Constitution saving throw or the creature’s concentration is broken.
The shock wave deals 100 thunder damage to all structures in contact with the ground in the area. If a creature is near a structure that collapses, the creature might be buried; a creature within half the distance of the structure’s height must make a DC 25 Dexterity saving throw. On a failed save, the creature takes 17 (5d6) bludgeoning damage, is knocked prone, and is trapped in the rubble. A trapped creature is restrained, requiring a successful DC 20 Strength (Athletics) check as an action to escape. Another creature within 5 feet of the buried creature can use its action to clear rubble and grant advantage on the check. If three creatures use their actions in this way, the check is an automatic success. On a successful save, the creature takes half as much damage and doesn’t fall prone or become trapped.| If the zaratan fails a saving throw, it can choose to succeed instead.| The zaratan’s weapon attacks are magical.| The elemental deals double damage to objects and structures (included in Earth-Shaking Movement).| The zaratan makes two attacks: one with its bite and one with its stomp.| Melee Weapon Attack: +17 to hit, reach 20 ft., one target. Hit: 28 (4d8 + 10) piercing damage.| Melee Weapon Attack: +17 to hit, reach 20 ft., one target. Hit: 26 (3d10 + 10) bludgeoning damage.| Ranged Weapon Attack: +17 to hit, range 120 ft./240 ft., one target. Hit: 31 (6d8 + 10) bludgeoning damage.| The zaratan exhales rocky debris in a 90-foot cube. Each creature in that area must make a DC 25 Dexterity saving throw. A creature takes 33 (6d10) bludgeoning damage on a failed save, or half as much damage on a successful one. A creature that fails the save by 5 or more is knocked prone.|The zaratan can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature’s turn. The zaratan regains spent legendary actions at the start of its turn.| The zaratan makes one stomp attack.| The zaratan moves up to its speed.| The zaratan uses Spit Rock.| The zaratan retracts into its shell. Until it takes its Emerge action, it has resistance to all damage, and it is restrained. The next time it takes a legendary action, it must take its Revitalize or Emerge action.| The zaratan can use this option only if it is retracted in its shell. It regains 52 (5d20) hit points. The next time it takes a legendary action, it must take its Emerge action.| The zaratan emerges from its shell and uses Spit Rock. It can use this option only if it is retracted in its shell.",21 (natural armor),-,18 (+4),30 (+10),10 (0),307  (15d20 + 150),2 (-4),"darkvision 60 ft., tremorsense 60 ft., passive Perception 15",Zaratan,"Gargantuan elemental, neutral",poison,"40 ft., swim 40 ft.",30 (+10),http://chisaipete.github.io/bestiary/creature/zaratan,21 (+5)
" tales from the yawning portal,  page 248| Yusdrayl is a 2nd-level spellcaster. Her spellcasting ability is Charisma (spell save DC 13, +5 to hit with spell attacks). She knows the following sorcerer spells:|Cantrips (at will): mage hand, prestidigitation, ray of frost, shocking grasp|1st level (4 slots): burning hands, chromatic orb, mage armor| While in sunlight, Yusdrayl has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight.| Yusdrayl has advantage on an attack roll against a creature if at least one of her allies is within 5 feet of the creature and the ally isn’t incapacitated.| Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage.",12 (15 with mage armor),"Common, Draconic",16 (+3),14 (+2),15 (+2),16 (3d6+6),10 (0),"Arcana +2, Insight +2, Stealth +4",Yusdrayl,"Small humanoid (kobold), lawful evil",darkvision 60 ft.,30 ft.,8 (-1),http://chisaipete.github.io/bestiary/creature/yusdrayl,10 (0)
" cold, fire, lightning, bludgeoning, piercing, and slashing from nonmagical weapons| poisoned| The yochlol can use its action to polymorph into a form that resembles a female drow or giant spider, or back into its true form. Its statistics are the same in each form. Any equipment it is wearing or carrying isn’t transformed. It reverts to its true form if it dies.| The yochlol has advantage on saving throws against spells and other magical effects.| The yochlol can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.| The yochlol’s spellcasting ability is Charisma (spell save DC 14). The yochlol can innately cast the following spells, requiring no material components:|At will: detect thoughts, web|1/day: dominate person| The yochlol ignores movement restrictions caused by webbing.| The yochlol makes two melee attacks.| Melee Weapon Attack: +6 to hit, reach 5 ft. (10 ft. in demon form), one target. Hit: 5 (1d6 + 2) bludgeoning (piercing in spider form) damage plus 21 (6d6) poison damage.| The yochlol transforms into toxic mist or reverts to its true form. Any equipment it is wearing or carrying is also transformed. It reverts to its true form if it dies.|While in mist form, the yochlol is incapacitated and can’t speak. It has a flying speed of 30 feet, can hover, and can pass through any space that isn’t airtight. It has advantage on Strength, Dexterity, and Constitution saving throws, and it is immune to nonmagical damage.|While in mist form, the yochlol can enter a creature’s space and stop there. Each time that creature starts its turn with the yochlol in its space, the creature must succeed on a DC 14 Constitution saving throw or be poisoned until the start of its next turn. While poisoned in this way, the target is incapacitated.| The demon chooses what to summon and attempts a magical summoning.|A yochlol has a 50 percent chance of summoning one yochlol.|A summoned demon appears in an unoccupied space within 60 feet of its summoner, acts as an ally of its summoner, and can’t summon other demons. It remains for 1 minute, until it or its summoner dies, or until its summoner dismisses it as an action.",15 (natural armor),"Deception +10, Insight +6",15 (+2),18 (+4),14 (+2),136 (16d8+64),13 (+1),darkvision 120 ft.,Yochlol,"Medium fiend (demon), chaotic evil",poison,"30 ft., climb 30 ft.",15 (+2),http://chisaipete.github.io/bestiary/creature/yochlol,15 (+2)
" If the yeti takes fire damage, it has disadvantage on attack rolls and ability checks until the end of its next turn.| The yeti has advantage on Wisdom (Perception) checks that rely on smell.| The yeti has advantage on Dexterity (Stealth) checks made to hide in snowy terrain.| The yeti can use its Chilling Gaze and makes two claw attacks.| Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) slashing damage plus 3 (1d6) cold damage.| The yeti targets one creature it can see within 30 ft. of it. If the target can see the yeti, the target must succeed on a DC 13 Constitution saving throw against this magic or take 10 (3d6) cold damage and then be paralyzed for 1 minute, unless it is immune to cold damage. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If the target’s saving throw is successful, or if the effect ends on it, the target is immune to the Chilling Gaze of all yetis (but not abominable yetis) for 1 hour.",12 (natural armor),"Perception +3, Stealth +3",7 (-2),16 (+3),13 (+1),51 (6d10+18),8 (-1),darkvision 60 ft.,Yeti,"Large monstrosity, chaotic evil",cold,"40 ft., climb 40 ft.",18 (+4),http://chisaipete.github.io/bestiary/creature/yeti,12 (+1)
" poisoned| If Yestabrod fails a saving throw, it can choose to succeed instead.| Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 8 (3d4 + 1) bludgeoning damage plus 7 (3d4) poison damage.| Yestabrod releases spores in a 30-foot cone. Each creature in that area must succeed on a DC 12 Dexterity saving throw ortake 1d6 acid damage at the start of each of Yestbrod’s turns. A creature can repeat the saving throw at the end of each of its turn, ending the effect on itself on a success.| Yestabrod releases spores that burst out in a cloud that fills a 10-foot-radius sphere centered on it, and the cloud lingers for 1 minute. Any flesh-and-blood creature in the cloud when it appears, or that enters it later, must make a DC 12 Constitution saving throw. On a successful save, the creature can’t be infected by these spores for 24 hours. On a failed save, the creature is infected with a disease called the spores of Zuggtmoy and also gains a random form of indefinite madness (determined by rolling on the Madness of Zuggtmoy table in appendix D) that lasts until the creature is cured of the disease or dies. While infected in this way, the creature can’t be reinfecte, and it must be repeat the saving throw at the end of every 24 hours, ending the infection on a success. On a failure, the infected creature’s body is slowly taken over by fungal growth, and after three such failed saves, the creature dies and is reanimated as a spore servant if it’s a type of creature that can be (see the “Myconids” entry in the Monster Manual).|Yestabrod can take 2 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature’s turn. Yestabrod regains spent legendary actions at the start of its turn.| Gore, offal, and acid erupt from a corpse within 20 feet of Yestabrod. Creatures within 10 feet of the corpse must succeed on a DC 12 Dexterity saving throw or take 7 (2d6) acid damage.| Yestabrod absorbs putrescence from a corpse within 5 feet of it, regaining 1d8 + 2 hit points",15 (natural armor),"Abyssal, telepathy 60 ft.",10 (0),14 (+2),10 (0),75 (10d10+20),13 (+1),darkvision 120 ft.,Yestabrod,"Large monstrosity, chaotic evil",poison,30 ft.,12 (+1),http://chisaipete.github.io/bestiary/creature/yestabrod,15 (+2)
